44°N 8°W,16 km/h
44°N 8°W,17 km/h
43°N 8°W,5 km/h
43°N 8°W,2 km/h
42°N 8°W,9 km/h
42°N 8°W,6 km/h
41°N 8°W,7 km/h
41°N 8°W,7 km/h
40°N 8°W,8 km/h
40°N 8°W,18 km/h
39°N 8°W,14 km/h
39°N 8°W,26 km/h
38°N 8°W,23 km/h
38°N 8°W,23 km/h
37°N 8°W,22 km/h
60°N 7°W,55 km/h
60°N 7°W,52 km/h
59°N 7°W,50 km/h
59°N 7°W,48 km/h
59°N 7°W,44 km/h
58°N 7°W,44 km/h
58°N 7°W,46 km/h
58°N 7°W,45 km/h
57°N 7°W,39 km/h
57°N 7°W,35 km/h
56°N 7°W,36 km/h
56°N 7°W,33 km/h
56°N 7°W,32 km/h
55°N 7°W,31 km/h
55°N 7°W,34 km/h
54°N 7°W,38 km/h
54°N 7°W,24 km/h
54°N 7°W,17 km/h
53°N 7°W,19 km/h
53°N 7°W,20 km/h
52°N 7°W,16 km/h
52°N 7°W,14 km/h
52°N 7°W,11 km/h
51°N 7°W,11 km/h
51°N 7°W,11 km/h
50°N 7°W,12 km/h
50°N 7°W,15 km/h
49°N 7°W,22 km/h
49°N 7°W,28 km/h
48°N 7°W,29 km/h
48°N 7°W,23 km/h
47°N 7°W,17 km/h
47°N 7°W,13 km/h
46°N 7°W,7 km/h
46°N 7°W,12 km/h
45°N 7°W,15 km/h
45°N 7°W,14 km/h
44°N 7°W,14 km/h
44°N 7°W,17 km/h
43°N 7°W,6 km/h
43°N 7°W,0 km/h
42°N 7°W,8 km/h
42°N 7°W,10 km/h
41°N 7°W,9 km/h
41°N 7°W,12 km/h
40°N 7°W,16 km/h
40°N 7°W,23 km/h
39°N 7°W,12 km/h
39°N 7°W,23 km/h
38°N 7°W,20 km/h
38°N 7°W,21 km/h
37°N 7°W,22 km/h
60°N 7°W,50 km/h
60°N 7°W,48 km/h
59°N 7°W,48 km/h
59°N 7°W,46 km/h
59°N 7°W,41 km/h
58°N 7°W,34 km/h
58°N 7°W,30 km/h
58°N 7°W,32 km/h
57°N 7°W,36 km/h
57°N 7°W,42 km/h
56°N 7°W,46 km/h
56°N 7°W,44 km/h
56°N 7°W,33 km/h
55°N 7°W,20 km/h
55°N 7°W,13 km/h
54°N 7°W,13 km/h
54°N 7°W,19 km/h
54°N 7°W,14 km/h
53°N 7°W,8 km/h
53°N 7°W,12 km/h
52°N 7°W,17 km/h
52°N 7°W,15 km/h
52°N 7°W,12 km/h
51°N 7°W,15 km/h
51°N 7°W,23 km/h
50°N 7°W,16 km/h
50°N 7°W,15 km/h
49°N 7°W,27 km/h
49°N 7°W,33 km/h
48°N 7°W,31 km/h
48°N 7°W,20 km/h
47°N 7°W,15 km/h
47°N 7°W,14 km/h
46°N 7°W,14 km/h
46°N 7°W,14 km/h
45°N 7°W,13 km/h
45°N 7°W,9 km/h
44°N 7°W,10 km/h
44°N 7°W,11 km/h
43°N 7°W,4 km/h
43°N 7°W,1 km/h
42°N 7°W,5 km/h
42°N 7°W,5 km/h
41°N 7°W,9 km/h
41°N 7°W,12 km/h
40°N 7°W,14 km/h
40°N 7°W,17 km/h
39°N 7°W,8 km/h
39°N 7°W,10 km/h
38°N 7°W,17 km/h
38°N 7°W,36 km/h
37°N 7°W,24 km/h
60°N 6°W,47 km/h
60°N 6°W,47 km/h
59°N 6°W,47 km/h
59°N 6°W,48 km/h
59°N 6°W,41 km/h
58°N 6°W,35 km/h
58°N 6°W,36 km/h
58°N 6°W,31 km/h
57°N 6°W,29 km/h
57°N 6°W,30 km/h
56°N 6°W,31 km/h
56°N 6°W,33 km/h
56°N 6°W,30 km/h
55°N 6°W,25 km/h
55°N 6°W,22 km/h
54°N 6°W,22 km/h
54°N 6°W,24 km/h
54°N 6°W,21 km/h
53°N 6°W,21 km/h
53°N 6°W,26 km/h
52°N 6°W,27 km/h
52°N 6°W,19 km/h
52°N 6°W,14 km/h
51°N 6°W,19 km/h
51°N 6°W,31 km/h
50°N 6°W,28 km/h
50°N 6°W,32 km/h
49°N 6°W,41 km/h
49°N 6°W,36 km/h
48°N 6°W,27 km/h
48°N 6°W,22 km/h
47°N 6°W,16 km/h
47°N 6°W,18 km/h
46°N 6°W,21 km/h
46°N 6°W,16 km/h
45°N 6°W,6 km/h
45°N 6°W,4 km/h
44°N 6°W,1 km/h
44°N 6°W,4 km/h
43°N 6°W,7 km/h
43°N 6°W,6 km/h
42°N 6°W,6 km/h
42°N 6°W,7 km/h
41°N 6°W,12 km/h
41°N 6°W,16 km/h
40°N 6°W,17 km/h
40°N 6°W,14 km/h
39°N 6°W,13 km/h
39°N 6°W,17 km/h
38°N 6°W,25 km/h
38°N 6°W,31 km/h
37°N 6°W,8 km/h
60°N 5°W,43 km/h
60°N 5°W,44 km/h
59°N 5°W,46 km/h
59°N 5°W,44 km/h
59°N 5°W,36 km/h
58°N 5°W,24 km/h
58°N 5°W,18 km/h
58°N 5°W,20 km/h
57°N 5°W,26 km/h
57°N 5°W,32 km/h
56°N 5°W,35 km/h
56°N 5°W,37 km/h
56°N 5°W,37 km/h
55°N 5°W,37 km/h
55°N 5°W,40 km/h
54°N 5°W,41 km/h
54°N 5°W,32 km/h
54°N 5°W,26 km/h
53°N 5°W,27 km/h
53°N 5°W,31 km/h
52°N 5°W,31 km/h
52°N 5°W,24 km/h
52°N 5°W,19 km/h
51°N 5°W,21 km/h
51°N 5°W,20 km/h
50°N 5°W,31 km/h
50°N 5°W,43 km/h
49°N 5°W,41 km/h
49°N 5°W,29 km/h
48°N 5°W,26 km/h
48°N 5°W,30 km/h
47°N 5°W,27 km/h
47°N 5°W,23 km/h
46°N 5°W,25 km/h
46°N 5°W,17 km/h
45°N 5°W,10 km/h
45°N 5°W,4 km/h
44°N 5°W,5 km/h
44°N 5°W,4 km/h
43°N 5°W,8 km/h
43°N 5°W,16 km/h
42°N 5°W,13 km/h
42°N 5°W,7 km/h
41°N 5°W,10 km/h
41°N 5°W,10 km/h
40°N 5°W,14 km/h
40°N 5°W,9 km/h
39°N 5°W,17 km/h
39°N 5°W,16 km/h
38°N 5°W,47 km/h
38°N 5°W,14 km/h
37°N 5°W,20 km/h
60°N 5°W,41 km/h
60°N 5°W,40 km/h
59°N 5°W,39 km/h
59°N 5°W,34 km/h
59°N 5°W,19 km/h
58°N 5°W,5 km/h
58°N 5°W,4 km/h
58°N 5°W,15 km/h
57°N 5°W,25 km/h
57°N 5°W,29 km/h
56°N 5°W,28 km/h
56°N 5°W,26 km/h
56°N 5°W,19 km/h
55°N 5°W,22 km/h
55°N 5°W,34 km/h
54°N 5°W,40 km/h
54°N 5°W,37 km/h
54°N 5°W,34 km/h
53°N 5°W,30 km/h
53°N 5°W,28 km/h
52°N 5°W,26 km/h
52°N 5°W,26 km/h
52°N 5°W,27 km/h
51°N 5°W,25 km/h
